key,xValue,value
Greece,1930,10599
Greece,1940,8605
Greece,1950,45153
Greece,1960,74173
Greece,1970,102370
Greece,1980,37729
Greece,1990,25403
Greece,2000,16841
Greece,2010,966
Greece,2011,1196
Greece,2012,1264
Greece,2013,1526
Greece,2014,1388
Greece,2015,1330
Guatemala,1820,0
Guatemala,1830,0
Guatemala,1840,0
Guatemala,1850,0
Guatemala,1860,1
Guatemala,1870,10
Guatemala,1880,3
Guatemala,1890,9
Guatemala,1900,9
Guatemala,1910,9
Guatemala,1920,9
Guatemala,1930,632
Guatemala,1940,1303
Guatemala,1950,4197
Guatemala,1960,14357
Guatemala,1970,23837
Guatemala,1980,58847
Guatemala,1990,126043
Guatemala,2000,156992
Guatemala,2010,10263
Guatemala,2011,10795
Guatemala,2012,9857
Guatemala,2013,9829
Guatemala,2014,9871
Guatemala,2015,11466
Guyana,1820,0
Guyana,1830,0
Guyana,1840,0
Guyana,1850,0
Guyana,1860,41
Guyana,1870,95
Guyana,1880,68
Guyana,1890,27
Guyana,1900,27
Guyana,1910,27
Guyana,1920,27
Guyana,1930,193
Guyana,1940,596
Guyana,1950,1131
Guyana,1960,4546
Guyana,1970,38278
Guyana,1980,85886
Guyana,1990,74407
Guyana,2000,70373
Guyana,2010,6441
Guyana,2011,6288
Guyana,2012,5282
Guyana,2013,5564
Guyana,2014,6031
Guyana,2015,5313
Haiti,1820,0
Haiti,1830,0
Haiti,1840,0
Haiti,1850,0
Haiti,1860,78
Haiti,1870,149
Haiti,1880,124
Haiti,1890,101
Haiti,1900,101
Haiti,1910,101
Haiti,1920,101
Haiti,1930,207
Haiti,1940,823
Haiti,1950,3787
Haiti,1960,28992
Haiti,1970,55166
Haiti,1980,121406
Haiti,1990,177446
Haiti,2000,203827
Haiti,2010,22336
Haiti,2011,21802
Haiti,2012,22446
Haiti,2013,20083
Haiti,2014,15107
Haiti,2015,16787
Honduras,1820,0
Honduras,1830,0
Honduras,1840,0
Honduras,1850,0
Honduras,1860,0
Honduras,1870,11
Honduras,1880,4
Honduras,1890,4
Honduras,1900,4
Honduras,1910,4
Honduras,1920,4
Honduras,1930,809
Honduras,1940,1874
Honduras,1950,5320
Honduras,1960,15087
Honduras,1970,15653
Honduras,1980,39071
Honduras,1990,72880
Honduras,2000,63513
Honduras,2010,6381
Honduras,2011,6053
Honduras,2012,6773
Honduras,2013,8795
Honduras,2014,8025
Honduras,2015,9071
Hong Kong,1820,0
Hong Kong,1830,0
Hong Kong,1840,0
Hong Kong,1850,0
Hong Kong,1860,0
Hong Kong,1870,0
Hong Kong,1880,0
Hong Kong,1890,0
Hong Kong,1900,0
Hong Kong,1910,0
Hong Kong,1920,0
Hong Kong,1930,0
Hong Kong,1940,0
Hong Kong,1950,13781
Hong Kong,1960,67047
Hong Kong,1970,117350
Hong Kong,1980,112132
Hong Kong,1990,116894
Hong Kong,2000,57583
Hong Kong,2010,3263
Hong Kong,2011,3149
Hong Kong,2012,2642
Hong Kong,2013,2614
Hong Kong,2014,2515
Hong Kong,2015,2426
Hungary,1820,0
Hungary,1830,0
Hungary,1840,0
Hungary,1850,0
Hungary,1860,483
Hungary,1870,5598
Hungary,1880,109982
Hungary,1890,203350
Hungary,1900,685567
Hungary,1910,565553
Hungary,1920,29499
Hungary,1930,7224
Hungary,1940,5181
Hungary,1950,31661
Hungary,1960,10019
Hungary,1970,6148
Hungary,1980,5063
Hungary,1990,9295
Hungary,2000,12778
Hungary,2010,1006
Hungary,2011,1049
Hungary,2012,1009
Hungary,2013,1008
Hungary,2014,970
Hungary,2015,1037
India,1820,9
India,1830,38
India,1840,33
India,1850,42
India,1860,50
India,1870,166
India,1880,247
India,1890,102
India,1900,3026
India,1910,3478
India,1920,2076
India,1930,554
India,1940,1692
India,1950,1922
India,1960,18638
India,1970,148018
India,1980,231649
India,1990,352528
India,2000,590464
India,2010,66185
India,2011,66331
India,2012,63320
India,2013,65506
India,2014,74451
India,2015,61380
Ireland,1820,51617
Ireland,1830,170672
Ireland,1840,656145
Ireland,1850,1029486
Ireland,1860,427419
Ireland,1870,422264
Ireland,1880,674061
Ireland,1890,405710
Ireland,1900,344940
Ireland,1910,166445
Ireland,1920,201644
Ireland,1930,28195
Ireland,1940,15701
Ireland,1950,47189
Ireland,1960,37788
Ireland,1970,11461
Ireland,1980,22210
Ireland,1990,65384
Ireland,2000,15642
Ireland,2010,1610
Ireland,2011,1533
Ireland,2012,1694
Ireland,2013,1765
Ireland,2014,1721
Ireland,2015,1798
Israel,1820,0
Israel,1830,0
Israel,1840,0
Israel,1850,0
Israel,1860,0
Israel,1870,0
Israel,1880,0
Israel,1890,0
Israel,1900,0
Israel,1910,0
Israel,1920,0
Israel,1930,0
Israel,1940,98
Israel,1950,21376
Israel,1960,30911
Israel,1970,36306
Israel,1980,43669
Israel,1990,41340
Israel,2000,54081
Israel,2010,5172
Israel,2011,4389
Israel,2012,4640
Israel,2013,4555
Israel,2014,4251
Israel,2015,4324
Italy,1820,430
Italy,1830,2225
Italy,1840,1476
Italy,1850,8643
Italy,1860,9853
Italy,1870,46296
Italy,1880,267660
Italy,1890,603761
Italy,1900,1930475
Italy,1910,1229916
Italy,1920,528133
Italy,1930,85053
Italy,1940,50509
Italy,1950,189061
Italy,1960,200111
Italy,1970,150031
Italy,1980,55562
Italy,1990,75992
Italy,2000,28329
Italy,2010,2956
Italy,2011,2670
Italy,2012,2946
Italy,2013,3233
Italy,2014,3647
Italy,2015,3829
Jamaica,1820,0
Jamaica,1830,0
Jamaica,1840,0
Jamaica,1850,0
Jamaica,1860,61
Jamaica,1870,257
Jamaica,1880,355
Jamaica,1890,223
Jamaica,1900,223
Jamaica,1910,223
Jamaica,1920,223
Jamaica,1930,223
Jamaica,1940,223
Jamaica,1950,7397
Jamaica,1960,62218
Jamaica,1970,130226
Jamaica,1980,193874
Jamaica,1990,177143
Jamaica,2000,172523
Jamaica,2010,19439
Jamaica,2011,19298
Jamaica,2012,20300
Jamaica,2013,19052
Jamaica,2014,18804
Jamaica,2015,17362
Japan,1820,0
Japan,1830,0
Japan,1840,0
Japan,1850,0
Japan,1860,138
Japan,1870,193
Japan,1880,1583
Japan,1890,13998
Japan,1900,139712
Japan,1910,77125
Japan,1920,42057
Japan,1930,2683
Japan,1940,1557
Japan,1950,41968
Japan,1960,40956
Japan,1970,52812
Japan,1980,44150
Japan,1990,66582
Japan,2000,84552
Japan,2010,7100
Japan,2011,6751
Japan,2012,6581
Japan,2013,6383
Japan,2014,5980
